{region},{label},{time_to_uninstall},{hardware_name},{is_organic},{referral_time},{random_user_id},{network_type},{store},{device_type},{app_version},{time_spent},{created_at},{country},{time_to_reinstall},{timezone},{platform},{os_name},{environment}
,,,,0,,4ffb687c0f07edb96cc2ad5d0fbb9013efa4814d,,google,phone,2.3.1,,1719842404,ru,,UTC+0600,Unknown,android,production
,,,,0,,f27d799c8b5d2427f4dc0c92b025dfed74edfdf0,,itunes,phone,240227296,,1719842405,ru,,UTC+0300,Unknown,ios,production
,,,,0,,566f42e23314a9b43a54e902bd054a13bfd8d636,,google,phone,2.3.1,,1719842405,ro,,UTC+0300,Unknown,android,production
,,,,0,,04b696ff3a8a5fc10a16a21486d12606f81f7fcb,,itunes,phone,240627199,,1719842407,ru,,UTC+0300,Unknown,ios,production
,,,,0,,0f0b91f63070ea2c14f969789f68d5344c7a4092,,itunes,phone,240627199,,1719842408,ru,,UTC+0300,Unknown,ios,production
,,,,1,,3b650d33deb7e4c67287897e9f407af3a88ac40e,,itunes,phone,240627199,,1719842409,ru,,UTC+0300,Unknown,ios,production
,,,,0,,aac10c581f59053b80c80ec384ee4e681c142783,,google,phone,2.3.1,,1719842411,ru,,UTC+0300,Unknown,android,production
,,,,0,,2eb22bda58da52abd8879eeb7ab1e2528c8ede32,,itunes,phone,240627199,,1719842411,tr,,UTC+0300,Unknown,ios,production
,,,,,,,,google,tablet,,,1719842411,lv,,UTC+0000,Unknown,android,
,,,,0,,56e1269d2047e921289eb6aaf9044b37f86989a9,,google,phone,2.3.1,,1719842412,ru,,UTC+0300,Unknown,android,production
,,,,0,,2eb22bda58da52abd8879eeb7ab1e2528c8ede32,,itunes,phone,240627199,,1719842418,tr,,UTC+0300,Unknown,ios,production
,,,,0,,90995e29182ce2ee1fa94f39813b7c6b6f0835f1,,google,phone,2.3.1,,1719842418,ru,,UTC+0300,Unknown,android,production
,,,,,,,,google,phone,,,1719842419,ru,,UTC+0000,Unknown,android,
,,,,,,,,google,phone,,,1719842421,us,,UTC+0000,Unknown,android,
,,,,0,,ebf5cc458b6e749645fd6a1443c954a4726247e1,,google,phone,2.3.1,,1719842420,ru,,UTC+0500,Unknown,android,production
,,,,0,,04b696ff3a8a5fc10a16a21486d12606f81f7fcb,,itunes,phone,240627199,,1719842422,ru,,UTC+0300,Unknown,ios,production
,,,,0,,6bae38a78066cbca7b78f5fa0d87c9f06ea65413,,google,phone,2.3.1,,1719842409,ru,,UTC+0300,Unknown,android,production
,,,,0,,218904bc92c8c13a79c2d280a1b1a60d93db406c,,google,tablet,2.3.1,,1719842423,ru,,UTC+0300,Unknown,android,production
,,,,0,,4ffb687c0f07edb96cc2ad5d0fbb9013efa4814d,,google,phone,2.3.1,,1719842422,ru,,UTC+0600,Unknown,android,production
,,,,,,,,itunes,phone,,,1719842425,ru,,UTC+0000,Unknown,ios,
,,,,,,,,google,phone,,,1719842426,co,,UTC+0000,Unknown,android,
,,,,0,,0f0b91f63070ea2c14f969789f68d5344c7a4092,,itunes,phone,240627199,,1719842426,ru,,UTC+0300,Unknown,ios,production
,,,,,,,,google,tablet,,,1719842427,de,,UTC+0000,Unknown,android,
,,,,,,,,google,phone,,,1719842426,ru,,UTC+0000,Unknown,android,
,,,,0,,6bae38a78066cbca7b78f5fa0d87c9f06ea65413,,google,phone,2.3.1,,1719842426,ru,,UTC+0300,Unknown,android,production
,,,,,,,,google,tablet,,,1719842429,ru,,UTC+0000,Unknown,android,
,,,,1,,3b650d33deb7e4c67287897e9f407af3a88ac40e,,itunes,phone,240627199,,1719842431,ru,,UTC+0300,Unknown,ios,production
,,,,,,,,google,phone,,,1719842430,ru,,UTC+0000,Unknown,android,
pl,,,UP1A.231005.007.S928BXXU1AXCA,0,,94d290e4580760bd8013b4b3993137345863e0b1,,google,phone,2.3.1,,1719842398,pl,,UTC+0200,mobile_app,android,production
,,,,0,,6962d07fbc2cdfc7f649ca26b20d44725bf9f194,,google,phone,2.3.1,,1719842430,ru,,UTC+0300,Unknown,android,production
,,,,0,,56e1269d2047e921289eb6aaf9044b37f86989a9,,google,phone,2.3.1,,1719842433,ru,,UTC+0300,Unknown,android,production
,,,,0,,04b696ff3a8a5fc10a16a21486d12606f81f7fcb,,itunes,phone,240627199,,1719842437,ru,,UTC+0300,Unknown,ios,production
,,,,0,,90995e29182ce2ee1fa94f39813b7c6b6f0835f1,,google,phone,2.3.1,,1719842436,ru,,UTC+0300,Unknown,android,production
,,,,,,,,google,phone,,,1719842436,il,,UTC+0000,Unknown,android,
,,,,,,,,google,phone,,,1719842438,by,,UTC+0000,Unknown,android,
,,,,0,,0f0b91f63070ea2c14f969789f68d5344c7a4092,,itunes,phone,240627199,,1719842440,ru,,UTC+0300,Unknown,ios,production
,,,,,,,,google,phone,,,1719842440,es,,UTC+0000,Unknown,android,
,,,,,,,,itunes,phone,,,1719842442,ru,,UTC+0000,Unknown,ios,
,,,,0,,55a3cf3d700e2b1d4e3eae323f361f0b93cd9a5a,,google,phone,2.3.1,,1719842435,ru,,UTC+0400,Unknown,android,production
,,,,,,,,google,phone,,,1719842439,ru,,UTC+0000,Unknown,android,
,,,,,,,,google,phone,,,1719842443,pl,,UTC+0000,Unknown,android,
,,,,0,,4ffb687c0f07edb96cc2ad5d0fbb9013efa4814d,,google,phone,2.3.1,,1719842428,ru,,UTC+0600,Unknown,android,production
ua,,,RP1A.200720.012.M307FNXXS4CWC1,0,1719826904,1fa6678c5b97349377f98edfb4eea462e1ce1ae5,,google,phone,2.3.1,,1719842412,ua,,UTC+0300,mobile_app,android,production
,,,,0,,6bae38a78066cbca7b78f5fa0d87c9f06ea65413,,google,phone,2.3.1,,1719842446,ru,,UTC+0300,Unknown,android,production
,,,,0,,566f42e23314a9b43a54e902bd054a13bfd8d636,,google,phone,2.3.1,,1719842414,ro,,UTC+0300,Unknown,android,production
,,,,,,,,google,phone,,,1719842451,ro,,UTC+0000,Unknown,android,
,,,,0,,1fa6678c5b97349377f98edfb4eea462e1ce1ae5,,google,phone,2.3.1,,1719842452,ua,,UTC+0300,Unknown,android,production
,,,,0,,848d2aef57a4f2d725b49608fe8a024e698c7045,,google,phone,2.3.1,,1719842450,ua,,UTC+0300,Unknown,android,production
,,,,0,,82c96ac8b6a081d729fb81796c403f7eb1244c03,,google,phone,2.3.1,,1719842445,ua,,UTC+0300,Unknown,android,production
,,,,,,,,google,phone,,,1719842446,de,,UTC+0000,Unknown,android,
,,,,,,,,google,tablet,,,1719842453,de,,UTC+0000,Unknown,android,
,,,,0,,ebf5cc458b6e749645fd6a1443c954a4726247e1,,google,phone,2.3.1,,1719842453,ru,,UTC+0500,Unknown,android,production
,,,,1,,3b650d33deb7e4c67287897e9f407af3a88ac40e,,itunes,phone,240627199,,1719842446,ru,,UTC+0300,Unknown,ios,production
ru,,,TP1A.220624.014.A035FXXS6CXA3,0,,e9c16552097a6845f4a134cd8ad5f87bc465ec4e,,google,phone,2.3.0,,1719724026,ua,,UTC+0300,mobile_app,android,production
ru,,,TP1A.220624.014.A035FXXS6CXA3,0,,e9c16552097a6845f4a134cd8ad5f87bc465ec4e,,google,phone,2.3.0,,1719499321,ua,,UTC+0300,mobile_app,android,production
ru,,,TP1A.220624.014.A035FXXS6CXA3,0,,e9c16552097a6845f4a134cd8ad5f87bc465ec4e,,google,phone,2.3.0,,1719842406,ua,,UTC+0300,mobile_app,android,production
ru,,,TP1A.220624.014.A035FXXS6CXA3,0,,e9c16552097a6845f4a134cd8ad5f87bc465ec4e,,google,phone,2.3.0,,1719692229,ua,,UTC+0300,mobile_app,android,production
,,,,,,,,google,phone,,,1719842453,ro,,UTC+0000,Unknown,android,
,,,,0,,218904bc92c8c13a79c2d280a1b1a60d93db406c,,google,tablet,2.3.1,,1719842454,ru,,UTC+0300,Unknown,android,production
,,,,,,,,google,phone,,,1719842453,ru,,UTC+0000,Unknown,android,
,,,,,,,,google,phone,,,1719842455,ru,,UTC+0000,Unknown,android,
ru,,,TP1A.220624.014.A035FXXS6CXA3,0,,e9c16552097a6845f4a134cd8ad5f87bc465ec4e,,google,phone,2.3.0,,1719733931,ua,,UTC+0300,mobile_app,android,production
,,,,0,,6962d07fbc2cdfc7f649ca26b20d44725bf9f194,,google,phone,2.3.1,,1719842448,ru,,UTC+0300,Unknown,android,production
,,,,,,,,google,tablet,,,1719842447,de,,UTC+0000,Unknown,android,
ru,,,TP1A.220624.014.A035FXXS6CXA3,0,,e9c16552097a6845f4a134cd8ad5f87bc465ec4e,,google,phone,2.3.0,,1719490963,ua,,UTC+0300,mobile_app,android,production
ru,,,TP1A.220624.014.A035FXXS6CXA3,0,,e9c16552097a6845f4a134cd8ad5f87bc465ec4e,,google,phone,2.3.0,,1719840343,ua,,UTC+0300,mobile_app,android,production
,,,,0,,2eb22bda58da52abd8879eeb7ab1e2528c8ede32,,itunes,phone,240627199,,1719842462,tr,,UTC+0300,Unknown,ios,production
,,,,,,,,google,phone,,,1719842462,ua,,UTC+0000,Unknown,android,
,,,,0,,aac10c581f59053b80c80ec384ee4e681c142783,,google,phone,2.3.1,,1719842428,ru,,UTC+0300,Unknown,android,production
,,,,1,,3b650d33deb7e4c67287897e9f407af3a88ac40e,,itunes,phone,240627199,,1719842463,ru,,UTC+0300,Unknown,ios,production
,,,,,,,,google,mac,,,1719842465,ru,,UTC+0000,Unknown,macos,
